"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"8564";"A042111";"2019KW04";"   104.8";"     2.3";"     2.1"
"8565";"A042111";"2019JJ00";"   103.8";"";"     1.5"
"8566";"A042111";"2020KW01";"   107.1";"     2.2";"     1.6"
"8567";"A042111";"2020KW02";"   104.3";"    -2.6";"     1.6"
"8568";"A042111";"2020KW03";"   104.1";"    -0.2";"     1.6"
"8569";"A042111";"2020KW04";"   104.2";"     0.1";"    -0.6"
"8570";"A042111";"2020JJ00";"   104.9";"";"     1.0"
"8571";"A042111";"2021KW01";"   104.2";"     0.1";"    -2.7"
"8572";"A042111";"2021KW02";"   106.0";"     1.7";"     1.6"
"8573";"A042111";"2021KW03";"   105.5";"    -0.4";"     1.4"
"8574";"A042111";"2021KW04";"   104.9";"    -0.6";"     0.7"
"8575";"A042111";"2021JJ00";"   105.2";"";"     0.2"
"8576";"A042111";"2022KW01";"   107.2";"     2.2";"     2.8"
"8577";"A042111";"2022KW02";"   108.3";"     1.0";"     2.2"
"8578";"A042111";"2022KW03";"   108.9";"     0.6";"     3.2"
"8579";"A042111";"2022KW04";"   110.1";"     1.0";"     4.9"
"8580";"A042111";"2022JJ00";"   108.6";"";"     3.3"
"8581";"A042111";"2023KW01";"   114.7";"     4.2";"     7.0"
"8582";"A042111";"2023KW02";"   114.5";"    -0.1";"     5.8"
"8583";"A042111";"2023KW03";"   114.5";"     0.0";"     5.1"
"8584";"A042111";"2023KW04";"   115.7";"     1.1";"     5.1"
"8585";"A042111";"2023JJ00";"   114.8";"";"     5.7"
"8586";"A024418";"2002KW04";"";"";""
"8587";"A024418";"2003KW01";"";"";""
"8588";"A024418";"2003KW02";"";"";""
"8589";"A024418";"2003KW03";"";"";""
"8590";"A024418";"2003KW04";"";"";""
"8591";"A024418";"2003JJ00";"";"";""
"8592";"A024418";"2004KW01";"";"";""
"8593";"A024418";"2004KW02";"";"";""
"8594";"A024418";"2004KW03";"";"";""
"8595";"A024418";"2004KW04";"";"";""
"8596";"A024418";"2004JJ00";"";"";""
"8597";"A024418";"2005KW01";"";"";""
"8598";"A024418";"2005KW02";"";"";""
"8599";"A024418";"2005KW03";"";"";""
"8600";"A024418";"2005KW04";"";"";""
"8601";"A024418";"2005JJ00";"";"";""
"8602";"A024418";"2006KW01";"    76.0";"";""
"8603";"A024418";"2006KW02";"    74.2";"    -2.4";""
"8604";"A024418";"2006KW03";"    74.6";"     0.6";""
"8605";"A024418";"2006KW04";"    76.1";"     2.0";""
"8606";"A024418";"2006JJ00";"    75.3";"";""
"8607";"A024418";"2007KW01";"    75.7";"    -0.6";"    -0.4"
"8608";"A024418";"2007KW02";"    77.8";"     2.8";"     4.8"
"8609";"A024418";"2007KW03";"    79.1";"     1.7";"     6.0"
"8610";"A024418";"2007KW04";"    79.6";"     0.6";"     4.5"
"8611";"A024418";"2007JJ00";"    78.0";"";"     3.7"
"8612";"A024418";"2008KW01";"    81.9";"     2.9";"     8.2"
"8613";"A024418";"2008KW02";"    81.7";"    -0.2";"     5.0"
"8614";"A024418";"2008KW03";"    82.4";"     0.9";"     4.2"
"8615";"A024418";"2008KW04";"    82.5";"     0.1";"     3.7"
"8616";"A024418";"2008JJ00";"    82.1";"";"     5.2"
"8617";"A024418";"2009KW01";"    86.3";"     4.6";"     5.4"
"8618";"A024418";"2009KW02";"    86.5";"     0.3";"     6.0"
"8619";"A024418";"2009KW03";"    87.0";"     0.5";"     5.5"
"8620";"A024418";"2009KW04";"    86.9";"     0.0";"     5.3"
"8621";"A024418";"2009JJ00";"    86.7";"";"     5.6"
"8622";"A024418";"2010KW01";"    88.4";"     1.7";"     2.5"
"8623";"A024418";"2010KW02";"    89.1";"     0.8";"     3.0"
"8624";"A024418";"2010KW03";"    88.5";"    -0.7";"     1.8"
"8625";"A024418";"2010KW04";"    89.5";"     1.1";"     2.9"
"8626";"A024418";"2010JJ00";"    88.9";"";"     2.5"
"8627";"A024418";"2011KW01";"    92.7";"     3.6";"     4.8"
"8628";"A024418";"2011KW02";"    93.8";"     1.2";"     5.3"
"8629";"A024418";"2011KW03";"    94.0";"     0.2";"     6.2"
"8630";"A024418";"2011KW04";"    92.4";"    -1.6";"     3.3"
"8631";"A024418";"2011JJ00";"    93.2";"";"     4.9"
"8632";"A024418";"2012KW01";"    93.0";"     0.6";"     0.3"
"8633";"A024418";"2012KW02";"    94.7";"     1.9";"     1.0"
"8634";"A024418";"2012KW03";"    94.6";"    -0.1";"     0.6"
"8635";"A024418";"2012KW04";"    94.9";"     0.3";"     2.7"
"8636";"A024418";"2012JJ00";"    94.3";"";"     1.1"
"8637";"A024418";"2013KW01";"    95.6";"     0.7";"     2.8"
"8638";"A024418";"2013KW02";"    94.9";"    -0.7";"     0.1"
"8639";"A024418";"2013KW03";"    95.2";"     0.4";"     0.6"
"8640";"A024418";"2013KW04";"    96.1";"     1.0";"     1.3"
"8641";"A024418";"2013JJ00";"    95.4";"";"     1.2"
"8642";"A024418";"2014KW01";"    96.0";"    -0.1";"     0.4"
"8643";"A024418";"2014KW02";"    95.9";"    -0.1";"     1.1"
"8644";"A024418";"2014KW03";"    97.0";"     1.1";"     1.9"
"8645";"A024418";"2014KW04";"    98.2";"     1.3";"     2.1"
"8646";"A024418";"2014JJ00";"    96.8";"";"     1.4"
"8647";"A024418";"2015KW01";"    99.5";"     1.3";"     3.7"
"8648";"A024418";"2015KW02";"   101.1";"     1.6";"     5.4"
"8649";"A024418";"2015KW03";"   100.0";"    -1.1";"     3.1"
"8650";"A024418";"2015KW04";"    99.4";"    -0.5";"     1.3"
"8651";"A024418";"2015JJ00";"   100.0";"";"     3.3"
"8652";"A024418";"2016KW01";"   102.3";"     2.8";"     2.8"
"8653";"A024418";"2016KW02";"   102.5";"     0.2";"     1.4"
"8654";"A024418";"2016KW03";"   101.2";"    -1.2";"     1.3"
"8655";"A024418";"2016KW04";"   101.3";"     0.1";"     1.9"
"8656";"A024418";"2016JJ00";"   101.8";"";"     1.8"
"8657";"A024418";"2017KW01";"   102.6";"     1.3";"     0.4"
"8658";"A024418";"2017KW02";"   102.7";"     0.1";"     0.2"
"8659";"A024418";"2017KW03";"   102.3";"    -0.4";"     1.0"
"8660";"A024418";"2017KW04";"   102.3";"     0.0";"     1.0"
"8661";"A024418";"2017JJ00";"   102.5";"";"     0.6"
"8662";"A024418";"2018KW01";"   104.8";"     2.4";"     2.1"
"8663";"A024418";"2018KW02";"   105.9";"     1.1";"     3.1"
"8664";"A024418";"2018KW03";"   105.6";"    -0.3";"     3.2"
"8665";"A024418";"2018KW04";"   105.9";"     0.3";"     3.5"
"8666";"A024418";"2018JJ00";"   105.5";"";"     3.0"
"8667";"A024418";"2019KW01";"   109.3";"     3.2";"     4.3"
"8668";"A024418";"2019KW02";"   109.2";"    -0.1";"     3.0"
"8669";"A024418";"2019KW03";"   108.9";"    -0.2";"     3.2"
"8670";"A024418";"2019KW04";"   109.4";"     0.4";"     3.3"
"8671";"A024418";"2019JJ00";"   109.2";"";"     3.5"
"8672";"A024418";"2020KW01";"   111.7";"     2.1";"     2.2"
"8673";"A024418";"2020KW02";"   112.1";"     0.3";"     2.7"
"8674";"A024418";"2020KW03";"   111.4";"    -0.6";"     2.3"
"8675";"A024418";"2020KW04";"   111.2";"    -0.2";"     1.6"
"8676";"A024418";"2020JJ00";"   111.6";"";"     2.2"
"8677";"A024418";"2021KW01";"   113.8";"     2.4";"     1.9"
"8678";"A024418";"2021KW02";"   113.2";"    -0.5";"     1.0"
"8679";"A024418";"2021KW03";"   113.4";"     0.2";"     1.8"
"8680";"A024418";"2021KW04";"   113.8";"     0.3";"     2.4"
"8681";"A024418";"2021JJ00";"   113.6";"";"     1.8"
"8682";"A024418";"2022KW01";"   117.2";"     3.0";"     2.9"
"8683";"A024418";"2022KW02";"   117.6";"     0.4";"     3.8"
"8684";"A024418";"2022KW03";"   118.1";"     0.4";"     4.1"
"8685";"A024418";"2022KW04";"   119.7";"     1.4";"     5.2"
"8686";"A024418";"2022JJ00";"   118.2";"";"     4.0"
"8687";"A024418";"2023KW01";"   126.7";"     5.8";"     8.1"
"8688";"A024418";"2023KW02";"   126.5";"    -0.1";"     7.6"
"8689";"A024418";"2023KW03";"   126.6";"     0.1";"     7.2"
"8690";"A024418";"2023KW04";"   127.2";"     0.5";"     6.3"
"8691";"A024418";"2023JJ00";"   126.8";"";"     7.3"
"8692";"A042112";"2002KW04";"";"";""
"8693";"A042112";"2003KW01";"";"";""
"8694";"A042112";"2003KW02";"";"";""
"8695";"A042112";"2003KW03";"";"";""
"8696";"A042112";"2003KW04";"";"";""
"8697";"A042112";"2003JJ00";"";"";""
"8698";"A042112";"2004KW01";"";"";""
"8699";"A042112";"2004KW02";"";"";""
"8700";"A042112";"2004KW03";"";"";""
"8701";"A042112";"2004KW04";"";"";""
"8702";"A042112";"2004JJ00";"";"";""
"8703";"A042112";"2005KW01";"";"";""
"8704";"A042112";"2005KW02";"";"";""
"8705";"A042112";"2005KW03";"";"";""
"8706";"A042112";"2005KW04";"";"";""
"8707";"A042112";"2005JJ00";"";"";""
"8708";"A042112";"2006KW01";"    80.2";"";""
"8709";"A042112";"2006KW02";"    78.0";"    -2.8";""
"8710";"A042112";"2006KW03";"    79.1";"     1.4";""
"8711";"A042112";"2006KW04";"    81.0";"     2.5";""
"8712";"A042112";"2006JJ00";"    79.6";"";""
"8713";"A042112";"2007KW01";"    80.0";"    -1.3";"    -0.3"
"8714";"A042112";"2007KW02";"    82.8";"     3.4";"     6.1"
"8715";"A042112";"2007KW03";"    82.7";"     0.0";"     4.6"
"8716";"A042112";"2007KW04";"    83.4";"     0.8";"     2.9"
"8717";"A042112";"2007JJ00";"    82.2";"";"     3.3"
"8718";"A042112";"2008KW01";"    84.8";"     1.7";"     6.0"
"8719";"A042112";"2008KW02";"    84.3";"    -0.6";"     1.9"
"8720";"A042112";"2008KW03";"    84.9";"     0.7";"     2.7"
"8721";"A042112";"2008KW04";"    84.4";"    -0.7";"     1.2"
"8722";"A042112";"2008JJ00";"    84.6";"";"     2.9"
"8723";"A042112";"2009KW01";"    88.7";"     5.1";"     4.6"
"8724";"A042112";"2009KW02";"    87.8";"    -1.0";"     4.2"
"8725";"A042112";"2009KW03";"    88.5";"     0.7";"     4.2"
"8726";"A042112";"2009KW04";"    88.8";"     0.3";"     5.2"
"8727";"A042112";"2009JJ00";"    88.4";"";"     4.5"
"8728";"A042112";"2010KW01";"    90.5";"     2.0";"     2.0"
"8729";"A042112";"2010KW02";"    90.7";"     0.2";"     3.2"
"8730";"A042112";"2010KW03";"    90.1";"    -0.6";"     1.8"
"8731";"A042112";"2010KW04";"    91.5";"     1.6";"     3.1"
"8732";"A042112";"2010JJ00";"    90.7";"";"     2.5"
